Kelurahan,Migrasi_Masuk,Migrasi_Keluar,cluster,keterangan
BEKASIJAYA,5989,7336,1,Peningkatan
MARGAHAYU,4237,7343,1,Peningkatan
DURENJAYA,5285,7284,1,Peningkatan
ARENJAYA,4300,6458,1,Peningkatan
BINTARA,4491,6112,1,Peningkatan
KRANJI,3208,5157,0,Penurunan
KOTABARU,2702,4175,0,Penurunan
BINTARAJAYA,2468,3256,0,Penurunan
JAKASAMPURNA,4328,7224,1,Peningkatan
KALIABANG TENGAH,6098,8826,1,Peningkatan
PERWIRA,2908,3206,0,Penurunan
HARAPANBARU,2427,2272,0,Penurunan
TELUK PUCUNG,4702,5803,1,Peningkatan
MARGAMULYA,1754,2388,0,Penurunan
HARAPANJAYA,5551,7571,1,Peningkatan
PEKAYONJAYA,4375,5342,1,Peningkatan
MARGAJAYA,1316,2127,0,Penurunan
JAKAMULYA,2645,2749,0,Penurunan
JAKASETIA,3501,3689,0,Penurunan
KAYURINGINJAYA,4043,6369,1,Peningkatan
BOJONG RAWALUMBU,5817,8223,1,Peningkatan
PENGASINAN,4507,5340,1,Peningkatan
SEPANJANGJAYA,2944,4106,0,Penurunan
BOJONGMENTENG,3452,5229,0,Penurunan
MEDANSATRIA,1631,3191,0,Penurunan
HARAPANMULYA,2022,2456,0,Penurunan
PEJUANG,5560,6714,1,Peningkatan
KALIBARU,1805,2996,0,Penurunan
BANTARGEBANG,3211,3397,0,Penurunan
CIKIWUL,2488,2923,0,Penurunan
CIKETINGUDIK,2802,1802,0,Penurunan
SUMURBATU,3190,1116,0,Penurunan
JATIWARINGIN,3474,4770,0,Penurunan
JATIBENING,2841,3741,0,Penurunan
JATIMAKMUR,4471,5308,1,Peningkatan
JATIBENING BARU,2599,3659,0,Penurunan
JATICEMPAKA,3113,4549,0,Penurunan
JATIMEKAR,2767,2832,0,Penurunan
JATIASIH,3113,3492,0,Penurunan
JATIKRAMAT,3484,3899,0,Penurunan
JATIRASA,2991,3406,0,Penurunan
JATILUHUR,3509,1980,0,Penurunan
JATISARI,4098,2593,0,Penurunan
JATISAMPURNA,2689,2657,0,Penurunan
JATIKARYA,1727,1017,0,Penurunan
JATIRANGGON,2416,2187,0,Penurunan
JATIRANGGA,1963,1113,0,Penurunan
JATIRADEN,2101,1530,0,Penurunan
PADURENAN,6592,3809,1,Peningkatan
CIMUNING,4467,2964,0,Penurunan
MUSTIKAJAYA,7211,6223,1,Peningkatan
MUSTIKASARI,4372,3341,0,Penurunan
JATIRAHAYU,3482,4763,0,Penurunan
JATIWARNA,1796,1942,0,Penurunan
JATIMELATI,1706,1389,0,Penurunan
JATIMURNI,2136,1875,0,Penurunan
